2025-02-15T22:20:55,238.56%,13.79MiB / 23.33GiB,0.06%
2025-02-15T22:20:58,238.63%,13.25MiB / 23.33GiB,0.06%
2025-02-15T22:21:02,236.93%,13.3MiB / 23.33GiB,0.06%
2025-02-15T22:21:05,217.94%,13.25MiB / 23.33GiB,0.06%
2025-02-15T22:21:09,215.81%,13.17MiB / 23.33GiB,0.06%
2025-02-15T22:21:13,214.74%,13.8MiB / 23.33GiB,0.06%
2025-02-15T22:21:16,213.29%,13.34MiB / 23.33GiB,0.06%
2025-02-15T22:21:20,214.62%,13.84MiB / 23.33GiB,0.06%
2025-02-15T22:21:24,214.54%,13.61MiB / 23.33GiB,0.06%
2025-02-15T22:21:27,216.25%,13.58MiB / 23.33GiB,0.06%
2025-02-15T22:21:31,214.65%,13.92MiB / 23.33GiB,0.06%
2025-02-15T22:21:34,206.74%,13.42MiB / 23.33GiB,0.06%
2025-02-15T22:21:38,214.88%,13.41MiB / 23.33GiB,0.06%
2025-02-15T22:21:42,213.85%,13.47MiB / 23.33GiB,0.06%
2025-02-15T22:21:45,214.63%,14.11MiB / 23.33GiB,0.06%
2025-02-15T22:21:49,215.14%,13.61MiB / 23.33GiB,0.06%
2025-02-15T22:21:53,210.83%,13.62MiB / 23.33GiB,0.06%
2025-02-15T22:21:56,208.68%,13MiB / 23.33GiB,0.05%
2025-02-15T22:22:00,213.71%,13.04MiB / 23.33GiB,0.05%
2025-02-15T22:22:03,210.91%,13.55MiB / 23.33GiB,0.06%
2025-02-15T22:22:07,235.06%,13.58MiB / 23.33GiB,0.06%
2025-02-15T22:22:11,232.93%,13.4MiB / 23.33GiB,0.06%
2025-02-15T22:22:14,232.63%,13.39MiB / 23.33GiB,0.06%
2025-02-15T22:22:18,231.45%,13.75MiB / 23.33GiB,0.06%
2025-02-15T22:22:22,235.35%,13.67MiB / 23.33GiB,0.06%
2025-02-15T22:22:25,234.84%,13.91MiB / 23.33GiB,0.06%
2025-02-15T22:22:29,232.37%,13.23MiB / 23.33GiB,0.06%
2025-02-15T22:22:32,231.66%,13.88MiB / 23.33GiB,0.06%
2025-02-15T22:22:36,232.01%,13.24MiB / 23.33GiB,0.06%
2025-02-15T22:22:40,234.26%,13.46MiB / 23.33GiB,0.06%
2025-02-15T22:22:43,234.72%,13.76MiB / 23.33GiB,0.06%
2025-02-15T22:22:47,230.15%,13.57MiB / 23.33GiB,0.06%
2025-02-15T22:22:51,235.08%,13.41MiB / 23.33GiB,0.06%
2025-02-15T22:22:54,233.06%,13.43MiB / 23.33GiB,0.06%
2025-02-15T22:22:58,235.47%,13.24MiB / 23.33GiB,0.06%
2025-02-15T22:23:01,233.39%,13.43MiB / 23.33GiB,0.06%
2025-02-15T22:23:05,231.43%,13.67MiB / 23.33GiB,0.06%
2025-02-15T22:23:09,232.50%,13.76MiB / 23.33GiB,0.06%
2025-02-15T22:23:12,232.06%,14.3MiB / 23.33GiB,0.06%
2025-02-15T22:23:16,234.70%,13.52MiB / 23.33GiB,0.06%
2025-02-15T22:23:20,234.61%,13.51MiB / 23.33GiB,0.06%
2025-02-15T22:23:23,235.94%,13.66MiB / 23.33GiB,0.06%
2025-02-15T22:23:27,233.99%,13.55MiB / 23.33GiB,0.06%
2025-02-15T22:23:30,232.67%,13.51MiB / 23.33GiB,0.06%
2025-02-15T22:23:34,232.74%,13.75MiB / 23.33GiB,0.06%
2025-02-15T22:23:38,235.79%,13.52MiB / 23.33GiB,0.06%
2025-02-15T22:23:41,231.12%,13.61MiB / 23.33GiB,0.06%
2025-02-15T22:23:45,235.75%,13.4MiB / 23.33GiB,0.06%
2025-02-15T22:23:49,237.61%,13.57MiB / 23.33GiB,0.06%
2025-02-15T22:23:52,235.91%,13.32MiB / 23.33GiB,0.06%
2025-02-15T22:23:56,231.44%,13.59MiB / 23.33GiB,0.06%
2025-02-15T22:23:59,233.67%,13.59MiB / 23.33GiB,0.06%
2025-02-15T22:24:03,231.95%,13.35MiB / 23.33GiB,0.06%
2025-02-15T22:24:07,233.33%,13.52MiB / 23.33GiB,0.06%
2025-02-15T22:24:10,228.73%,13.39MiB / 23.33GiB,0.06%
2025-02-15T22:24:14,230.21%,13.57MiB / 23.33GiB,0.06%
2025-02-15T22:24:18,231.51%,13.35MiB / 23.33GiB,0.06%
2025-02-15T22:24:21,231.90%,13.5MiB / 23.33GiB,0.06%
2025-02-15T22:24:25,234.72%,13.64MiB / 23.33GiB,0.06%
2025-02-15T22:24:28,231.44%,13.57MiB / 23.33GiB,0.06%
2025-02-15T22:24:32,230.71%,13.25MiB / 23.33GiB,0.06%
2025-02-15T22:24:36,234.20%,13.8MiB / 23.33GiB,0.06%
2025-02-15T22:24:39,236.29%,13.53MiB / 23.33GiB,0.06%
2025-02-15T22:24:43,234.46%,13.87MiB / 23.33GiB,0.06%
2025-02-15T22:24:47,229.33%,13.37MiB / 23.33GiB,0.06%
2025-02-15T22:24:50,232.11%,13.29MiB / 23.33GiB,0.06%
2025-02-15T22:24:54,233.77%,13.46MiB / 23.33GiB,0.06%
2025-02-15T22:24:57,233.64%,13.6MiB / 23.33GiB,0.06%
2025-02-15T22:25:01,233.95%,13.82MiB / 23.33GiB,0.06%
2025-02-15T22:25:05,233.87%,13.63MiB / 23.33GiB,0.06%
2025-02-15T22:25:08,229.26%,13.73MiB / 23.33GiB,0.06%
2025-02-15T22:25:12,232.15%,11.57MiB / 23.33GiB,0.05%
2025-02-15T22:25:16,233.98%,11.78MiB / 23.33GiB,0.05%
2025-02-15T22:25:19,231.91%,11.68MiB / 23.33GiB,0.05%
2025-02-15T22:25:23,236.16%,11.76MiB / 23.33GiB,0.05%
2025-02-15T22:25:26,232.02%,11.6MiB / 23.33GiB,0.05%
